Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Place,,Time Period,Start_Date,Data Value,,,,latitude,longitude,name,desc,color,source,precision,
216498,386,Ozone (O3),Mean,ppb,CD,313,Coney Island,"Coney Island, New York City",Summer 2013,41426,34.64,,,,40.574879,-73.982872,Coney Island,"Coney Island, Stone, MO, US",,MapQuest,city/town,
216499,386,Ozone (O3),Mean,ppb,CD,313,Coney Island,"Coney Island, New York City",Summer 2014,41791,33.22,,,,40.574879,-73.982872,Coney Island,"Coney Island, Stone, MO, US",,MapQuest,city/town,
219969,386,Ozone (O3),Mean,ppb,Borough,1,Bronx,"Bronx, New York City",Summer 2013,41426,31.25,,,,40.826,-73.92309,Bronx,"Bronx, Bronx, NY, US",,MapQuest,city/town,
219970,386,Ozone (O3),Mean,ppb,Borough,1,Bronx,"Bronx, New York City",Summer 2014,41791,31.15,,,,40.826,-73.92309,Bronx,"Bronx, Bronx, NY, US",,MapQuest,city/town,
164876,383,Sulfur Dioxide (SO2),Mean,ppb,CD,211,Morris Park and Bronxdale,"Morris Park and Bronxdale, New York City",Winter 2008-09,39783,5.89,,,,40.85284,-73.85452,Morris Park and Bronxdale,"Bronx, Bronx, NY, US",,MapQuest,neighborhood,
164877,383,Sulfur Dioxide (SO2),Mean,ppb,CD,212,Williamsbridge and Baychester,"Williamsbridge and Baychester, New York City",Winter 2008-09,39783,5.75,,,,40.87924,-73.84657,Williamsbridge and Baychester,"Chester St, Bronx, Bronx, NY, US",,MapQuest,street,
219971,386,Ozone (O3),Mean,ppb,Borough,2,Brooklyn,"Brooklyn, New York City",Summer 2009,39965,26.27,,,,40.69245,-73.99036,Brooklyn,"Brooklyn, Kings, NY, US",,MapQuest,city/town,
219972,386,Ozone (O3),Mean,ppb,Borough,2,Brooklyn,"Brooklyn, New York City",Summer 2010,40330,33.83,,,,40.69245,-73.99036,Brooklyn,"Brooklyn, Kings, NY, US",,MapQuest,city/town,
164878,383,Sulfur Dioxide (SO2),Mean,ppb,CD,301,Greenpoint and Williamsburg,"Greenpoint and Williamsburg, New York City",Winter 2008-09,39783,4.33,,,,40.72064,-73.96301,Greenpoint and Williamsburg,"N 6th Pl, Brooklyn, Kings, NY, US",,MapQuest,address,
164879,383,Sulfur Dioxide (SO2),Mean,ppb,CD,302,Fort Greene and Brooklyn Heights,"Fort Greene and Brooklyn Heights, New York City",Winter 2008-09,39783,4.41,,,,40.67864,-73.95151,Fort Greene and Brooklyn Heights,"1193 Atlantic Ave, Brooklyn, Kings, NY, US",,MapQuest,address,
164880,383,Sulfur Dioxide (SO2),Mean,ppb,CD,303,Bedford Stuyvesant,"Bedford Stuyvesant, New York City",Winter 2008-09,39783,4.73,,,,40.68339,-73.94247,Bedford Stuyvesant,"Brooklyn, Kings, NY, US",,MapQuest,neighborhood,
164881,383,Sulfur Dioxide (SO2),Mean,ppb,CD,304,Bushwick,"Bushwick, New York City",Winter 2008-09,39783,4.71,,,,40.6936,-73.91922,Bushwick,"Brooklyn, Kings, NY, US",,MapQuest,neighborhood,
164882,383,Sulfur Dioxide (SO2),Mean,ppb,CD,305,East New York and Starrett City,"East New York and Starrett City, New York City",Winter 2008-09,39783,3.78,,,,40.66643,-73.88269,East New York and Starrett City,"New York, Kings, NY, US",,MapQuest,neighborhood,
164883,383,Sulfur Dioxide (SO2),Mean,ppb,CD,306,Park Slope and Carroll Gardens,"Park Slope and Carroll Gardens, New York City",Winter 2008-09,39783,3.94,,,,40.6681038,-73.980581,Park Slope and Carroll Gardens,"Willis, Montgomery, TX, US",,MapQuest,neighborhood,
164884,383,Sulfur Dioxide (SO2),Mean,ppb,CD,307,Sunset Park,"Sunset Park, New York City",Winter 2008-09,39783,3.78,,,,40.80662,-73.85346,Sunset Park,"Sunset Park, Govan Mbeki, ZA",,MapQuest,city/town,
